iter	RMSE
0	0.06965570907
1	0.06964889592
2	0.06964211605
3	0.06963652033
4	0.06962993501
5	0.06962400548
6	0.06961714228
7	0.0696114955
8	0.06960620234
9	0.06960081133
10	0.06959651206
11	0.06959162214
12	0.06958738994
13	0.06958275911
14	0.069578203
15	0.06957408315
16	0.06956881154
17	0.06956589965
18	0.06956134536
19	0.0695573316
20	0.06955414257
21	0.06954932973
22	0.06954515859
23	0.06954176868
24	0.06953694815
25	0.06953261204
26	0.06952924358
27	0.06952522347
28	0.0695209905
29	0.06951682866
30	0.06951380888
31	0.06950994914
32	0.06950672333
33	0.06950350261
34	0.06950005133
35	0.06949589137
36	0.06949315244
37	0.06948869415
38	0.06948509507
39	0.06948067314
40	0.06947691597
41	0.06947374015
42	0.06947035026
43	0.06946675624
44	0.06946362102
45	0.06946073943
46	0.06945793417
47	0.06945485523
48	0.06945205419
49	0.06944968856
50	0.06944540882
51	0.06944304423
52	0.06944035357
53	0.06943732617
54	0.06943404566
55	0.06943113975
56	0.06942972793
57	0.06942742011
58	0.06942582944
59	0.0694233433
60	0.06942085443
61	0.0694184927
62	0.0694157291
63	0.06941331191
64	0.06941090573
65	0.06940853706
66	0.06940545459
67	0.06940222302
68	0.06939804326
69	0.06939609468
70	0.06939397958
71	0.06939166256
72	0.06938811748
73	0.06938546291
74	0.06938177358
75	0.06937944053
76	0.06937668882
77	0.06937336478
78	0.06937100459
79	0.06936710471
80	0.06936380418
81	0.06936185953
82	0.06935914944
83	0.06935633945
84	0.0693538628
85	0.06935137311
86	0.06934858208
87	0.06934632227
88	0.06934319273
89	0.06934072383
90	0.06933788051
91	0.06933427375
92	0.06933148838
93	0.0693290322
94	0.06932758023
95	0.06932531951
96	0.06932348288
97	0.06932060348
98	0.06931769409
99	0.06931453065
100	0.06931202271
101	0.06930923921
102	0.06930624293
103	0.06930324316
104	0.06930092899
105	0.06929865758
106	0.06929740604
107	0.06929478515
108	0.06929117681
109	0.06928890675
110	0.06928667817
111	0.0692844274
112	0.06928284986
113	0.06928008827
114	0.06927867683
115	0.06927650751
116	0.06927352595
117	0.06927177107
118	0.06926904911
119	0.06926712987
120	0.06926443709
121	0.06926154067
122	0.0692599502
123	0.06925722671
124	0.06925469196
125	0.06925204866
126	0.06925029693
127	0.06924780173
128	0.06924640219
129	0.06924432864
130	0.06924223605
131	0.06924017536
132	0.06923728327
133	0.06923472041
134	0.06923277761
135	0.06923076556
136	0.06922855543
137	0.06922694193
138	0.06922456188
139	0.06922159125
140	0.06921904869
141	0.06921579538
142	0.06921342687
143	0.06921113664
144	0.0692092469
145	0.06920591629
146	0.06920411862
147	0.06920174995
148	0.0692000499
149	0.06919775827
150	0.06919512965
151	0.06919250057
